,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,3853605.0,3853605.0,3853605.0,3853605.0,0.0,1672531259999,0.0,0,0.0,0.0,0
1,1672531260000,3853605.0,3853605.0,3853605.0,3853605.0,0.057,1672531319999,219655.48,1,0.057,219655.48,0
2,1672531320000,3853605.0,3853605.0,3853605.0,3853605.0,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,3853605.0,3853605.0,3853605.0,3853605.0,0.0,1672531439999,0.0,0,0.0,0.0,0
4,1672531440000,3853605.0,3853605.0,3853605.0,3853605.0,0.0,1672531499999,0.0,0,0.0,0.0,0
5,1672531500000,3853605.0,3853605.0,3853605.0,3853605.0,0.0,1672531559999,0.0,0,0.0,0.0,0
6,1672531560000,3853605.0,3853605.0,3853605.0,3853605.0,0.0,1672531619999,0.0,0,0.0,0.0,0
7,1672531620000,3853605.0,3853605.0,3853605.0,3853605.0,0.0,1672531679999,0.0,0,0.0,0.0,0
8,1672531680000,3853534.0,3853561.0,3853534.0,3853561.0,0.516,1672531739999,1988432.07,2,0.516,1988432.07,0
9,1672531740000,3853561.0,3853561.0,3853561.0,3853561.0,0.0,1672531799999,0.0,0,0.0,0.0,0
10,1672531800000,3853561.0,3853561.0,3853561.0,3853561.0,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,3853561.0,3853561.0,3853561.0,3853561.0,0.0,1672531919999,0.0,0,0.0,0.0,0
12,1672531920000,3853561.0,3853561.0,3853561.0,3853561.0,0.0,1672531979999,0.0,0,0.0,0.0,0
13,1672531980000,3853561.0,3853561.0,3853561.0,3853561.0,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,3853561.0,3853561.0,3853561.0,3853561.0,0.0,1672532099999,0.0,0,0.0,0.0,0
15,1672532100000,3853561.0,3853561.0,3853561.0,3853561.0,0.0,1672532159999,0.0,0,0.0,0.0,0
16,1672532160000,3848999.0,3848999.0,3848999.0,3848999.0,0.19,1672532219999,731309.81,1,0.0,0.0,0
17,1672532220000,3848999.0,3848999.0,3842944.0,3842944.0,1.655,1672532279999,6367369.57,4,0.0,0.0,0
18,1672532280000,3844154.0,3844154.0,3844154.0,3844154.0,0.013,1672532339999,49974.0,1,0.0,0.0,0
19,1672532340000,3844154.0,3844154.0,3844154.0,3844154.0,0.0,1672532399999,0.0,0,0.0,0.0,0
20,1672532400000,3844154.0,3844154.0,3844154.0,3844154.0,0.0,1672532459999,0.0,0,0.0,0.0,0
